排序,时代,events名称 ,key (Key Card Solution),提示语 (Flavor Text),沙盘奖励 (Sandbox Reward),时代开场语
1,生存时代,【寒冷】,【火】,“夜幕降临，体温与希望一同流逝。”,篝火,
2,生存时代,【饥饿】,【农业】,“人口渐增，林间的野果与奔跑的野兽已不足以果腹。”,麦田,
3,生存时代,【纷争】,【律法】,“我的田地，你的水源。当私欲在村落中滋生，拳头成为了唯一的语言。”,石碑,
4,城邦时代,【遗忘】,【文字】,“谷仓里的麦子无法计数，石碑上的律法随时间模糊。”,图书馆/学堂,解决了基本的生存需求后，人口在定居点高度集中，形成了早期的城邦。财富的积累、社会分工的出现以及城邦间的交互，带来了全新的挑战与机遇。
5,城邦时代,【隔绝】,【货币】,“丰饶的物产困于一隅，远方的奇珍遥不可及。”,市场/港口,
6,城邦时代,【入侵】,【城防】,“城墙之外，觊觎的目光汇聚成军。”,城墙/哨塔,
7,分野时代,【方向的迷惘】,【官僚体系】 或 【宗教】,“财富与和平带来了空虚，文明的巨轮应驶向何方？”,【官僚体系】 -> **宫殿**<br>**【宗教】** -> 圣地,
8,帝国时代,【广袤的疆域】,【道路】,“帝国的命令无法抵达遥远的边疆，军团的脚步在泥泞中停滞。”,罗马式大道,文明选择了通过权力和秩序来定义自身。它的目标是扩张、征服与建立一个前所未有的强大帝国，用物质力量来证明自己的伟大。
9,帝国时代,【涣散的人心】,【史诗】,“被征服的子民只知故土，不知帝国。我们需要一个共同的传说。”,竞技场/凯旋门,
10,帝国时代,【无尽的欲望】,【远洋航行】,“黄金、香料、奴隶……帝国的胃口永不满足，大陆已无新物。”,大型港口与舰队,
11,理性时代,【知识的囚笼】,【印刷术】,“帝国的智慧被锁在孤立的皇家图书馆里，知识的复制比腐朽还要缓慢。”,印刷工坊,“帝国时代”的扩张达到了极限。庞大的疆域、僵化的官僚体系和持续的资源消耗让帝国不堪重负，内部的创新停滞不前。旧的知识和权力结构已无法解决新的问题，一场自下而上的思想变革正在酝酿。
12,理性时代,【帝国的黄昏】,【启蒙思想】,“当维系帝国的武力与财富都已衰退，什么才能将这片土地上的人们重新连接？”,大学/沙龙,
13,理性时代,【停滞的生产】,【蒸汽机】,“人力、畜力、水力……帝国已经榨干了自然界所有可见的力量，发展已至极限。”,工厂与烟囱,
14,信仰时代,【精神的虚空】,【圣典】,“众说纷纭的教诲让信徒迷失，我们需要一部记录神意的唯一真理。”,大教堂/神庙,文明选择了通过精神和思想来定义自身。它的目标是探索宇宙的奥秘与生命的意义，建立一个统一所有人的精神国度，用思想的力量来达到永恒。
15,信仰时代,【理念的传播】,【艺术】,“真理深奥，凡人难解。如何让不识字的信众也能感受神的光辉？”,教堂壁画/雕塑,
16,信仰时代,【异端的挑战】,【教权】,“当不同的声音开始动摇信仰的根基，谁有权定义唯一的‘正确’？”,修道院/神学院,
17,启蒙时代,【蒙昧的阴影】,【科学方法】,“教义解释一切，却无法解释星辰的轨迹和瘟疫的起因。我们需要一盏照亮未知的光。”,天文台/实验室,“信仰时代”建立了统一但封闭的精神秩序。至高无上的教权压制了所有“异端”的思索，人们满足于神圣的解释而忽略了对现实世界的探求。然而，瘟疫、饥荒等现实问题并不会因祈祷而消失，对世界本源的好奇心也从未熄灭。
18,启蒙时代,【神权的枷锁】,【人权宣言】,“君权神授，宿命天定。凡人是否有权决定自己的命运，甚至质疑神的代言人？”,议会/法院,
19,启蒙时代,【自然的伟力】,【电力】,“我们畏惧雷霆如神罚，崇拜光明如神恩。但如果……这只是可以被驾驭的力量呢？”,发电机/电灯,
20,全球时代,【失控的机器】,【全球协作】,“工厂锻造的不再是犁，而是剑。民族的旗帜下，兄弟反目，世界在钢铁风暴中燃烧。”,国际组织总部,
21,全球时代,【信息的洪流】,【计算机】,“每个声音都能响彻世界，但真理却被淹没在喧嚣的海洋中。我们连接了一切，却失去了共识。”,数据中心/全球网络,
22,全球时代,【枯萎的星球】,【可持续发展】,“工厂的浓烟遮蔽了天空，曾经蔚蓝的星球发出低烧的喘息。我们征服了自然，却即将失去家园。”,生态城市/核聚变反应堆,
23,第二次分野时代,【人类的目的】,【太空电梯】 或 【脑机接口】,“地球是一个摇篮，但人类不能永远活在摇篮里。我们是该去群星中寻找新的家园，还是重新定义‘活着’的含义？”,【太空电梯】 -> **连接天地之塔**<br>**【脑机接口】** -> 全球神经网格,作为一个统一、可持续的行星文明，人类的下一个目标不再是“生存”，而是“存在”的意义。我们已经抵达了摇篮的边缘，现在必须决定是望向无垠的外界，还是探索无限的内在。
24,星辰时代,【空寂的回响】,【冯·诺依曼探针】,“我们能抵达太空，但只能带去微不足道的物资。如何用星尘和光，在虚空中建立起一座座城市？”,小行星工业带,您选择了向外探索。文明的未来在星辰大海。以地球为基石，人类开始向太阳系乃至更远的地方投射力量，目标是成为一个真正的多行星物种。
25,星辰时代,【光年的囚笼】,【曲率引擎】,“在最快的飞船里，光阴也足以化为尘土。我们无法超越时间，或许……我们必须扭曲空间。”,太阳系边缘的曲速门,
26,星辰时代(最终结局),【星际殖民】,【创世纪数据库】,“飞船已就位，新世界在召唤。但一座方舟载不动文明的全部。我们如何将历史、文化与灵魂，一同送往宇宙的彼岸？”,（游戏结局动画）,
27,奇点时代,【血肉的囚徒】,【脑机接口】,“心智可在刹那间遍历数据宇宙，但心脏仍在进行有限的搏动。血肉之躯是最后的牢笼。”,覆盖全球的虚拟现实层,您选择了向内探索。文明的未来在于超越物质的束缚。人类开始将现实世界数字化，追求在永恒的数据维度中获得终极的自由与不朽。
28,奇点时代,【孤立的意识】,【集体意识同步】,“我们建起了一张由十亿孤岛构成的网络。我能发送我的思想，你却无法感受我的悲伤。”,第一座数字陵墓（服务器阵列）,
29,奇点时代(最终结局),【意识上传】,【数字永生】,“最后的生物之锚即将斩断。我们将成为新实相中的神祇，还是机器里的幽灵？”,（游戏结局动画）,